Unnamed: 0,Case Number,Project Names,Amount,Date,Beneficiaries,Beneficiary type,Number of donations,Partner,Location,Details URL,Hijri_Month
474,P48493,ترميم مساكن الأسر المتعففة,219000,2024-07-26,25,المواطنون,13586,جمعية مساكن,عنيزة,https://ehsan.sa/projects/0/47494?amount=null,محرم
475,P48538,تأثيث منازل المتعففين,280000,2024-07-26,14,المواطنون,27507,الجمعية الخيرية بوادي قديد,خليص,https://ehsan.sa/projects/0/47539?amount=null,محرم
476,P48568,تفريج كرب الأسر المتعففة,300000,2024-07-26,60,المواطنون,20308,جمعية البر الخيرية بعجلان وضواحيها,القنفذه,https://ehsan.sa/projects/0/47569?amount=null,محرم
477,P48577,السلال الغذائية للأسر المتعففة,385320,2024-07-26,741,المواطنون,29326,جمعية البر الخيرية بمركز الصنيناء,موقق,https://ehsan.sa/projects/0/47578?amount=null,محرم
478,P48574,عمليات المياه البيضاء للمتعففين,100000,2024-07-25,22,المواطنون والمقيمون بالمملكة,7926,جمعية يبصرون للعيون بمكة المكرمة,مكة المكرمة,https://ehsan.sa/projects/0/47575?amount=null,محرم
479,P48572,رعاية كبار السن المتعففين,334500,2024-07-25,223,المواطنون,23805,جمعية البر الخيرية بوادي بني عمير صنائع,المضيق,https://ehsan.sa/projects/0/47573?amount=null,محرم
480,P48571,دعم المقبلين على الزواج,135000,2024-07-25,9,المواطنون,11626,جمعية البر الخيرية بالبجادية,البجادية,https://ehsan.sa/projects/0/47572?amount=null,محرم
481,P48570,دعم الأسر المتعففة,122000,2024-07-24,122,المواطنون,8696,جمعية البر الخيرية بالحيد,الحيد,https://ehsan.sa/projects/0/47571?amount=null,محرم
482,P48576,سداد إيجار منازل الأسر المتعففة,234000,2024-07-24,13,المواطنون,18192,جمعية البر الخيرية بالحرجة,الحرجة,https://ehsan.sa/projects/0/47577?amount=null,محرم
483,P48575,الأجهزة الطبية لذوي الإعاقة,41500,2024-07-23,200,المواطنون,2603,جمعية قادرون للأشخاص ذوي الإعاقة بمحافظة شقراء,شقراء,https://ehsan.sa/projects/0/47576?amount=null,محرم
484,P48564,سقيا الماء للمتعففين,301500,2024-07-22,603,المواطنون,28531,جمعية البر الخيرية ببني حسن,بني حسن,https://ehsan.sa/projects/0/47568?amount=null,محرم
485,P48547,دعم الأسر المتضررة,200000,2024-07-21,50,المواطنون,19674,جمعية روافد الخيرية النسائية,العيص,https://ehsan.sa/projects/0/47551?amount=null,محرم
486,P48554,الأجهزة الطبية للمتعففين,150000,2024-07-21,60,المواطنون والمقيمون بالمملكة,11716,جمعية اسناد لرعاية الأشخاص ذوي الاعاقة,شرورة,https://ehsan.sa/projects/0/47555?amount=null,محرم
487,P48558,العمليات الجراحية لمرضى العيون,300000,2024-07-21,26,المواطنون والمقيمون بالمملكة,24681,جمعية سفانة الخيرية للخدمات الصحية بحائل,حائل,https://ehsan.sa/projects/0/47559?amount=null,محرم
488,P48463,الأجهزة الكهربائية للمتعففين,387600,2024-07-20,76,المواطنون,37631,جمعية البر الخيرية بالسرح,السرح,https://ehsan.sa/projects/0/47464?amount=null,محرم
489,P48559,سداد إيجارات الأسر المتعففة,400000,2024-07-20,80,المواطنون,26008,جمعية البر الخيرية بأبها,أبها,https://ehsan.sa/projects/0/47560?amount=null,محرم
490,P48561,السلال الغذائية للأسر المتعففة,290000,2024-07-19,1000,المواطنون,22836,جمعية البر الخيرية بالشرائع,مكة المكرمة,https://ehsan.sa/projects/0/47562?amount=null,محرم
491,P48557,دعم المقبلين على الزواج,200000,2024-07-19,29,المواطنون,15729,جمعية البر الخيرية بأبها,أبها,https://ehsan.sa/projects/0/47558?amount=null,محرم
492,P48555,سقيا الماء للمناطق النائية,1012000,2024-07-19,20000,المواطنون والمقيمون بالمملكة,76711,الجمعية الخيرية لخدمات المياه الصالحة للشرب إرواء,ضليع رشيد,https://ehsan.sa/projects/0/47556?amount=null,محرم
493,P48562,حلقات تحفيظ القرآن لكبيرات السن,97500,2024-07-18,60,المواطنون,11355,الجمعية الخيرية لتحفيظ القرآن الكريم بتندحة,تندحة,https://ehsan.sa/projects/0/47563?amount=null,محرم
494,P48560,وجبات الطعام للأسر المتعففة,250000,2024-07-18,40000,المواطنون والمقيمون بالمملكة,21085,جمعية أرزاق لحفظ النعمة,الطائف,https://ehsan.sa/projects/0/47561?amount=null,محرم
495,P48553,رعاية كبار السن المتعففين,150000,2024-07-18,25,المواطنون,6443,جمعية البر الخيرية بمركز حسوة,حسوة,https://ehsan.sa/projects/0/47554?amount=null,محرم
496,P48543,دعم حلقات تحفيظ القرآن الكريم,189000,2024-07-17,126,المواطنون,18931,الجمعية الخيرية لتحفيظ القرآن الكريم بالعظيم,العظيم,https://ehsan.sa/projects/0/47544?amount=null,محرم
497,P48556,السلال الغذائية للمتعففين,167000,2024-07-16,334,المواطنون,13820,جمعية لين للأعمال الإنسانية,البجيدي,https://ehsan.sa/projects/0/47557?amount=null,محرم
498,P48552,دعم المقبلين على الزواج,90000,2024-07-16,9,المواطنون,7569,جمعية زواج الخيرية ورعاية الاسرة بالباحة فرح,الباحة,https://ehsan.sa/projects/0/47553?amount=null,محرم
499,P48517,عمليات استبدال المفاصل للمتعففين,500000,2024-07-16,10,المواطنون,29533,الجمعية الخيرية لعلاج المرضى في منطقة الرياض علاجي,الرياض,https://ehsan.sa/projects/0/47518?amount=null,محرم
500,P48551,تفريج كرب المتعففين,340000,2024-07-16,685,المواطنون,27147,جمعية العوامية الخيرية للخدمات الاجتماعية,العوامية,https://ehsan.sa/projects/0/47552?amount=null,محرم
501,P48542,سقيا الماء للمناطق النائية,1042000,2024-07-14,8000,المواطنون والمقيمون بالمملكة,73839,الجمعية الخيرية لخدمات المياه الصالحة للشرب إرواء,العفيرية,https://ehsan.sa/projects/0/47543?amount=null,محرم
502,P48540,كفالة أسر المدمنين,200000,2024-07-14,250,المواطنون,14864,جمعية التأهيل المستمر بالطائف,الطائف,https://ehsan.sa/projects/0/47541?amount=null,محرم
503,P48537,سداد إيجار منازل الأسر المتعففة,135000,2024-07-14,15,المواطنون,8401,جمعية البر الخيرية ببريدة,بريدة,https://ehsan.sa/projects/0/47538?amount=null,محرم
504,P48147,ترميم منازل المتعففين,2294000,2024-07-13,37,المقيمون بالمملكة,147007,جمعية مقر للإسكان التنموي,القنفذه,https://ehsan.sa/projects/0/47148?amount=null,محرم
505,P48536,تموين الأسر المتعففة,200000,2024-07-12,100,المواطنون,13670,جمعية أصدقاء لاعبي كرة القدم الخيرية,الرياض,https://ehsan.sa/projects/0/47537?amount=null,محرم
506,P48541,السماعات الطبية لضعاف السمع,14000,2024-07-12,7,المواطنون والمقيمون بالمملكة,1067,جمعية تعاطف الخيرية بمنطقة الباحة,الباحة,https://ehsan.sa/projects/0/47542?amount=null,محرم
507,P48545,دعم المقبلين على الزواج,100000,2024-07-12,10,المواطنون,5788,جمعية البر الخيرية بالفويلق,القويعية,https://ehsan.sa/projects/0/47546?amount=null,محرم
508,P48544,تفريج كرب الأسر المتعففة,180000,2024-07-12,30,المواطنون,13165,جمعية بر مشارق,خليص,https://ehsan.sa/projects/0/47545?amount=null,محرم
509,P48535,تعليم القرآن الكريم للأطفال,160000,2024-07-11,80,المواطنون والمقيمون بالمملكة,13853,الجمعية الخيرية لتحفيظ القرآن الكريم بالأفلاج,الأفلاج,https://ehsan.sa/projects/0/47536?amount=null,محرم
510,P48539,التكفل بالعمرة للجاليات,100000,2024-07-11,500,المواطنون والمقيمون بالمملكة,10658,جمعية الدعوة والإرشاد وتوعية الجاليات في محافظة العويقيلة,العويقيلة,https://ehsan.sa/projects/0/47540?amount=null,محرم
511,P48529,سقيا الماء لضيوف الرحمن,600000,2024-07-09,600000,المواطنون والمقيمون بالمملكة,52623,جمعية البر الخيرية بذهبان,مكة المكرمة,https://ehsan.sa/projects/0/47530?amount=null,محرم
512,P48530,وجبات الطعام للأسر المتعففة,230000,2024-07-09,46000,المواطنون والمقيمون بالمملكة,18790,جمعية خيرات لحفظ النعمة,الرياض,https://ehsan.sa/projects/0/47531?amount=null,محرم
513,P48528,دعم حلقات تحفيظ القرآن الكريم,100000,2024-07-08,5,المواطنون والمقيمون بالمملكة,8177,جمعية الدعوة والإرشاد وتوعية الجاليات بالراكة,الخبر,https://ehsan.sa/projects/0/47529?amount=null,محرم
514,P48527,التكفل بالعمرة للجاليات,44700,2024-07-08,149,المقيمون بالمملكة,3412,جمعية الدعوة والإرشاد وتوعية الجاليات بالناصفة,الناصفة - القريات,https://ehsan.sa/projects/0/47528?amount=null,محرم
515,P48533,العلاج الكيماوي لمريضة بسرطان الثدي,67221,2024-07-08,1,المقيمون بالمملكة,3039,جمعية رحماء الصحية,الرياض,https://ehsan.sa/projects/0/47534?amount=null,محرم
516,P48523,سداد إيجارات الأسر المتعففة,368000,2024-07-07,46,المواطنون,17001,الجمعية الخيرية بالدلم,الدلم,https://ehsan.sa/projects/0/47524?amount=null,محرم
517,P48485,الأجهزة الطبية لمرضى السكري,300000,2024-07-07,200,المواطنون والمقيمون بالمملكة,26083,جمعية سكر للتوعية الصحية بمرض السكري بعنيزة,عنيزة,https://ehsan.sa/projects/0/47486?amount=null,محرم
518,P48521,خزانات المياه للأسر المتعففة,251625,2024-07-07,125,المواطنون,21413,الجمعية الخيرية بمحافظة البرك,البرك,https://ehsan.sa/projects/0/47522?amount=null,محرم
519,P48526,كفالة الأسر المتعففة,264000,2024-07-07,55,المقيمون بالمملكة,17294,جمعية حماية الاسرة الاهلية,جدة,https://ehsan.sa/projects/0/47527?amount=null,محرم
520,P48516,كفالة حلقات تحفيظ القرآن الكريم,200000,2024-07-06,41,المواطنون والمقيمون بالمملكة,17057,الجمعية الخيرية لتحفيظ القران الكريم بالمجمعة,المجمعة,https://ehsan.sa/projects/0/47517?amount=null,ذو الحجة
